Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	UTR_change	Samples	Driver	num_samples	Pfam_change	Prosite_change	Functional	p_recurrent
ALL	ENSG00000177479.19	ARIH2	ENST00000356401.8	ENST00000449376.5	1	1	0	1	TARGET-10-PAPRCS-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARFTR-04,TARGET-10-PARPRW-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000144840.8	RABL3	ENST00000273375.7	ENST00000483733.1	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPZNK-04,TARGET-10-PARBVI-04,TARGET-10-PARPRW-04,TARGET-10-PASFXA-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000163660.11	CCNL1	ENST00000295926.7	ENST00000461804.5	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPLDL-04,TARGET-10-PAPSPN-04,TARGET-10-PARFTR-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000154274.14	C4orf19	ENST00000508175.5	ENST00000381980.8	1	1	1	1	TARGET-10-PANYGB-04,TARGET-10-PAPHJF-04,TARGET-10-PAPNFY-04,TARGET-10-PASKAY-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
ALL	ENSG00000033178.12	UBA6	ENST00000322244.9	ENST00000420827.2	1	1	1	1	TARGET-10-PAPGFP-04,TARGET-10-PAPIJB-04,TARGET-10-PAPSPG-04,TARGET-10-PAPZNK-04,TARGET-10-PARAKF-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000070190.12	DAPP1	ENST00000296414.11	ENST00000512369.1	1	1	1	1	TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PARBVI-04,TARGET-10-PARGHW-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000247950.6	SEC24B-AS1	ENST00000499359.2	ENST00000510971.5	0	0	0	1	TARGET-10-PANSHK-04,TARGET-10-PANUSN-04,TARGET-10-PAPACP-04,TARGET-10-PAPJHB-04,TARGET-10-PARFTR-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000113387.11	SUB1	ENST00000265073.8	ENST00000502897.5	1	1	0	1	TARGET-10-PAPLDL-04,TARGET-10-PARBVI-04,TARGET-10-PASFXA-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000083720.12	OXCT1	ENST00000196371.9	ENST00000509987.1	1	1	1	1	TARGET-10-PAPJIB-04,TARGET-10-PAPZST-04,TARGET-10-PARGHW-04	No	3	FALSE	TRUE	Yes	0.45309753864995794
ALL	ENSG00000083312.17	TNPO1	ENST00000337273.9	ENST00000506351.6	1	1	1	1	TARGET-10-PAPLDL-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PARPRW-04	Driver interactor	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000039319.16	ZFYVE16	ENST00000338008.9	ENST00000505560.4	1	1	0	1	TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PAPNNX-04,TARGET-10-PARIAD-04,TARGET-10-PARLAF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000164219.9	PGGT1B	ENST00000419445.5	ENST00000379615.3	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000145916.18	RMND5B	ENST00000515098.5	ENST00000313386.8	1	1	0	1	TARGET-10-PANUSN-04,TARGET-10-PAPAGK-04,TARGET-10-PAPZNK-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000137207.11	YIPF3	ENST00000372422.6	ENST00000506469.5	1	1	1	1	TARGET-10-PAPACP-04,TARGET-10-PAPLTZ-04,TARGET-10-PAPNFY-04,TARGET-10-PAPZNK-04,TARGET-10-PARLAF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000228878.7	SEPT7-AS1	ENST00000437235.7	ENST00000412856.5	0	0	0	1	TARGET-10-PANTSM-04,TARGET-10-PAPGFP-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000086289.11	EPDR1	ENST00000199448.8	ENST00000425345.1	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PARGHW-04,TARGET-10-PASHUI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000146729.9	GBAS	ENST00000322090.7	ENST00000446778.5	1	1	1	0	TARGET-10-PANZPJ-04,TARGET-10-PAPECF-04,TARGET-10-PAPHJF-04,TARGET-10-PARMSP-04,TARGET-10-PARXMC-04	Driver interactor	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000234444.9	ZNF736	ENST00000423484.2	ENST00000355095.8	1	1	0	1	TARGET-10-PAPIJB-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZNK-04,TARGET-10-PASFXA-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000105835.11	NAMPT	ENST00000222553.7	ENST00000354289.8	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPSPN-04,TARGET-10-PARBRK-04,TARGET-10-PARGHW-04,TARGET-10-PARPRW-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000164597.13	COG5	ENST00000347053.7	ENST00000297135.7	1	1	1	1	TARGET-10-PAPGFP-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000133597.9	ADCK2	ENST00000072869.8	ENST00000476491.5	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PANZPJ-04,TARGET-10-PAPAGK-04,TARGET-10-PAPMFI-04,TARGET-10-PARLAF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000259305.5	ZHX1-C8orf76	ENST00000357082.8	ENST00000622816.1	1	1	0	1	TARGET-10-PANZPJ-04,TARGET-10-PAPAGK-04,TARGET-10-PAPNFY-04,TARGET-10-PAPSPN-04,TARGET-10-PASFXA-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000165025.14	SYK	ENST00000375754.8	ENST00000375751.8	1	1	1	0	TARGET-10-PANXPE-04,TARGET-10-PANYGB-04,TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PARLAF-04	Driver	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000171448.8	ZBTB26	ENST00000373656.3	ENST00000373654.1	1	1	0	1	TARGET-10-PAPNNX-04,TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PARBVI-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000095321.16	CRAT	ENST00000318080.6	ENST00000393384.3	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PANUSN-04,TARGET-10-PAPMFI-04,TARGET-10-PAPZST-04,TARGET-10-PARFTR-04	No	5	FALSE	TRUE	Yes	0.10398174620766079
ALL	ENSG00000126878.12	AIF1L	ENST00000247291.7	ENST00000372302.5	1	1	1	0	TARGET-10-PANSHK-04,TARGET-10-PAPIJB-04,TARGET-10-PAPSPG-04,TARGET-10-PASFXA-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000107745.16	MICU1	ENST00000361114.9	ENST00000398761.8	1	1	1	1	TARGET-10-PAPJIB-04,TARGET-10-PARGHW-04,TARGET-10-PARNMF-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000122882.10	ECD	ENST00000372979.8	ENST00000454759.6	1	1	1	1	TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PAPNNX-04,TARGET-10-PARIAD-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000185009.12	AP3M1	ENST00000355264.8	ENST00000372745.1	1	1	0	1	TARGET-10-PAPAGK-04,TARGET-10-PAPLDL-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000185737.12	NRG3	ENST00000372141.6	ENST00000404547.5	1	1	1	1	TARGET-10-PAPECF-04,TARGET-10-PAPLTZ-04,TARGET-10-PARJSR-04,TARGET-10-PARNMF-04,TARGET-10-PASHUI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000119969.14	HELLS	ENST00000348459.9	ENST00000630929.2	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPGFP-04,TARGET-10-PARAKF-04,TARGET-10-PARMSP-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
ALL	ENSG00000065621.14	GSTO2	ENST00000369707.2	ENST00000338595.6	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PAPNMY-04,TARGET-10-PARMSP-04,TARGET-10-PARPRW-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000196177.12	ACADSB	ENST00000358776.6	ENST00000368869.8	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPSPG-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARBVI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000214063.10	TSPAN4	ENST00000397397.6	ENST00000397396.5	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PAPZST-04,TARGET-10-PASHUI-04	No	3	FALSE	TRUE	Yes	0.45309753864995794
ALL	ENSG00000110628.13	SLC22A18	ENST00000312221.9	ENST00000347936.6	1	1	0	1	TARGET-10-PANXPE-04,TARGET-10-PAPLDM-04,TARGET-10-PAPNFY-04,TARGET-10-PASHUI-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000166311.9	SMPD1	ENST00000342245.8	ENST00000527275.5	1	1	1	1	TARGET-10-PANCVR-04,TARGET-10-PANSHK-04,TARGET-10-PARFLV-04,TARGET-10-PARGHW-04,TARGET-10-PARNMF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000148950.9	IMMP1L	ENST00000533642.1	ENST00000526776.5	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPDWT-04,TARGET-10-PAPJIB-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000149187.17	CELF1	ENST00000395290.6	ENST00000361904.7	1	1	1	1	TARGET-10-PAPIJB-04,TARGET-10-PAPRCS-04,TARGET-10-PARBRK-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000110031.12	LPXN	ENST00000395074.6	ENST00000528489.1	1	1	1	1	TARGET-10-PAPIJB-04,TARGET-10-PAPJIB-04,TARGET-10-PARAKF-04,TARGET-10-PARLAF-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000151376.16	ME3	ENST00000393324.7	ENST00000543262.5	1	1	0	1	TARGET-10-PAPAGK-04,TARGET-10-PAPIJB-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARMXF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000184293.7	CLECL1	ENST00000327839.3	ENST00000621400.4	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PAPDUV-04,TARGET-10-PAPJHB-04,TARGET-10-PAPNMY-04,TARGET-10-PARXMC-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000151743.10	AMN1	ENST00000281471.10	ENST00000541931.5	1	1	1	1	TARGET-10-PANYGB-04,TARGET-10-PAPJIB-04,TARGET-10-PAPZNK-04,TARGET-10-PASFXA-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
ALL	ENSG00000167528.12	ZNF641	ENST00000544117.6	ENST00000301042.7	1	1	0	1	TARGET-10-PAPEJN-04,TARGET-10-PAPSPN-04,TARGET-10-PARJSR-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000257913.2	RP11-386G11.5	ENST00000547866.1	ENST00000547395.1	0	0	0	1	TARGET-10-PANTSM-04,TARGET-10-PAPNMY-04,TARGET-10-PAPZNK-04,TARGET-10-PARFTR-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000139626.15	ITGB7	ENST00000267082.9	ENST00000422257.7	1	1	0	1	TARGET-10-PAPACP-04,TARGET-10-PAPJIB-04,TARGET-10-PAPZST-04,TARGET-10-PATCTI-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000166225.8	FRS2	ENST00000397997.6	ENST00000549921.5	1	1	0	1	TARGET-10-PAPGFP-04,TARGET-10-PAPSPG-04,TARGET-10-PARBRK-04,TARGET-10-PARGHW-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000257167.2	TMPO-AS1	ENST00000548760.2	ENST00000546421.1	0	0	0	1	TARGET-10-PANUSN-04,TARGET-10-PAPDJM-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PARGFV-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000136051.13	KIAA1033	ENST00000332180.9	ENST00000620430.4	1	1	1	1	TARGET-10-PAPZST-04,TARGET-10-PARBRK-04,TARGET-10-PARPRW-04,TARGET-10-PARXMC-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000102781.13	KATNAL1	ENST00000380615.7	ENST00000380617.7	1	1	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPSPN-04,TARGET-10-PARFTR-04,TARGET-10-PARPRW-04,TARGET-10-PASFXA-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000139899.10	CBLN3	ENST00000267406.10	ENST00000555436.1	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PANZPJ-04,TARGET-10-PAPACP-04,TARGET-10-PAPGFP-04,TARGET-10-PAPJIB-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000165506.14	DNAAF2	ENST00000406043.3	ENST00000298292.12	1	1	1	0	TARGET-10-PAPHJF-04,TARGET-10-PARGVZ-04,TARGET-10-PARJSR-04,TARGET-10-PARPRW-04,TARGET-10-PARXMC-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000081177.18	EXD2	ENST00000312994.9	ENST00000409675.5	1	1	1	1	TARGET-10-PAPDJM-04,TARGET-10-PARFTR-04,TARGET-10-PARMSP-04,TARGET-10-PASKAY-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000198894.7	CIPC	ENST00000361786.6	ENST00000555437.5	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPIJB-04,TARGET-10-PAPZNK-04,TARGET-10-PARXMC-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000179627.9	ZBTB42	ENST00000342537.7	ENST00000555360.1	1	1	0	1	TARGET-10-PANSDA-04,TARGET-10-PARFLV-04,TARGET-10-PARGFV-04,TARGET-10-PARIAD-04,TARGET-10-PARJSR-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000215252.11	GOLGA8B	ENST00000342314.9	ENST00000438958.2	1	1	1	1	TARGET-10-PAPRCS-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZST-04,TARGET-10-PASHUI-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000159459.11	UBR1	ENST00000290650.8	ENST00000546274.6	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPSPG-04,TARGET-10-PARAKF-04,TARGET-10-PARGHW-04,TARGET-10-PARLAF-04	Driver interactor	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000103647.12	CORO2B	ENST00000540068.5	ENST00000261861.9	1	1	0	1	TARGET-10-PAPCVZ-04,TARGET-10-PAPNMY-04,TARGET-10-PATCTI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000169371.13	SNUPN	ENST00000308588.9	ENST00000567134.5	1	1	0	1	TARGET-10-PANSHK-04,TARGET-10-PAPAGK-04,TARGET-10-PAPNFY-04,TARGET-10-PARJZZ-04	Driver interactor	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000064726.9	BTBD1	ENST00000261721.8	ENST00000379403.2	1	1	1	1	TARGET-10-PARBVI-04,TARGET-10-PARGFV-04,TARGET-10-PARGVZ-04,TARGET-10-PASFXA-04,TARGET-10-PASHUI-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000185418.15	TARSL2	ENST00000335968.7	ENST00000615656.1	1	1	1	1	TARGET-10-PAPSPN-04,TARGET-10-PAPZST-04,TARGET-10-PARBRK-04,TARGET-10-PARBVI-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000140992.18	PDPK1	ENST00000342085.8	ENST00000441549.7	1	1	1	1	TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PARLAF-04	Driver interactor	3	TRUE	FALSE	Yes	0.45309753864995794
ALL	ENSG00000262246.5	CORO7	ENST00000251166.8	ENST00000537233.6	1	1	1	1	TARGET-10-PAPEFH-04,TARGET-10-PAPIJB-04,TARGET-10-PARGHW-04,TARGET-10-PARLAF-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
ALL	ENSG00000067365.14	METTL22	ENST00000381920.7	ENST00000561758.5	1	1	1	1	TARGET-10-PAPJIB-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04,TARGET-10-PARIAD-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000183793.13	NPIPA5	ENST00000360151.8	ENST00000543801.5	1	1	1	1	TARGET-10-PAPNFY-04,TARGET-10-PARGFV-04,TARGET-10-PARGVZ-04,TARGET-10-PASKAY-04	No	4	FALSE	FALSE	No	0.2372378134479852
ALL	ENSG00000233024.7	RP11-1212A22.4	ENST00000327792.6	ENST00000427999.6	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PAPNFY-04,TARGET-10-PAPVTA-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000140750.16	ARHGAP17	ENST00000303665.9	ENST00000289968.10	1	1	1	1	TARGET-10-PAPJIB-04,TARGET-10-PAPVTA-04,TARGET-10-PARGVZ-04,TARGET-10-PARIAD-04,TARGET-10-PASKAY-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000205022.9	PABPN1L	ENST00000419291.6	ENST00000411789.6	1	1	1	1	TARGET-10-PAPZNK-04,TARGET-10-PARFTR-04,TARGET-10-PARIAD-04,TARGET-10-PARNMF-04,TARGET-10-PARPRW-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000070444.14	MNT	ENST00000174618.4	ENST00000575394.1	1	1	1	1	TARGET-10-PAPRCS-04,TARGET-10-PAPZNK-04,TARGET-10-PAPZST-04,TARGET-10-PARAKF-04,TARGET-10-PARIAD-04	Driver interactor	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000072818.11	ACAP1	ENST00000158762.7	ENST00000570504.5	1	1	1	1	TARGET-10-PANZPJ-04,TARGET-10-PAPACP-04,TARGET-10-PAPJIB-04,TARGET-10-PAPNFY-04,TARGET-10-PARBVI-04	Driver interactor	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000175662.17	TOM1L2	ENST00000581396.5	ENST00000478943.5	1	1	1	1	TARGET-10-PANYGB-04,TARGET-10-PAPAGK-04,TARGET-10-PARJZZ-04,TARGET-10-PARLAF-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
ALL	ENSG00000141068.13	KSR1	ENST00000398988.7	ENST00000578981.1	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PAPDWT-04,TARGET-10-PAPLDL-04,TARGET-10-PAPMFI-04,TARGET-10-PARBVI-04	Driver interactor	5	TRUE	TRUE	Yes	0.10398174620766079
ALL	ENSG00000277501.1	RP11-697E22.2	ENST00000615265.1	ENST00000613901.1	0	0	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPEFH-04,TARGET-10-PAPIJB-04,TARGET-10-PAPJIB-04,TARGET-10-PASHUI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000108828.15	VAT1	ENST00000355653.7	ENST00000587173.5	1	1	1	1	TARGET-10-PANSDA-04,TARGET-10-PAPMFI-04,TARGET-10-PAPNFY-04,TARGET-10-PARXMC-04,TARGET-10-PASHUI-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000067596.10	DHX8	ENST00000262415.7	ENST00000540306.5	1	1	1	1	TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPSPN-04,TARGET-10-PAPVTA-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000161692.17	DBF4B	ENST00000315005.7	ENST00000393547.6	1	1	1	1	TARGET-10-PAPDWT-04,TARGET-10-PAPSPN-04,TARGET-10-PAPVTA-04,TARGET-10-PAPZNK-04,TARGET-10-PASFXA-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000267302.5	RP11-178C3.2	ENST00000586209.1	ENST00000593015.5	0	0	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPLDL-04,TARGET-10-PARGVZ-04,TARGET-10-PASFXA-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000259384.6	GH1	ENST00000323322.9	ENST00000617086.1	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPZNK-04,TARGET-10-PARMXF-04	No	3	TRUE	TRUE	Yes	0.45309753864995794
ALL	ENSG00000161533.11	ACOX1	ENST00000293217.9	ENST00000301608.8	1	1	1	1	TARGET-10-PAPGFP-04,TARGET-10-PAPIJB-04,TARGET-10-PAPSPG-04,TARGET-10-PAPZST-04,TARGET-10-PARJZZ-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000266405.3	CBX3P2	ENST00000579647.1	ENST00000583365.1	0	0	0	1	TARGET-10-PAPEFH-04,TARGET-10-PAPGFP-04,TARGET-10-PAPNNX-04,TARGET-10-PARGHW-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000166479.9	TMX3	ENST00000299608.6	ENST00000562706.5	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPSPG-04,TARGET-10-PARAKF-04,TARGET-10-PARFTR-04	No	4	TRUE	FALSE	Yes	0.2372378134479852
ALL	ENSG00000099817.11	POLR2E	ENST00000615234.4	ENST00000586746.5	1	1	0	1	TARGET-10-PAPIJB-04,TARGET-10-PAPNNX-04,TARGET-10-PAPVTA-04,TARGET-10-PARBRK-04,TARGET-10-PARFTR-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000270011.6	ZNF559-ZNF177	ENST00000434737.6	ENST00000541595.6	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPDJM-04,TARGET-10-PAPSPG-04	No	3	TRUE	FALSE	Yes	0.45309753864995794
ALL	ENSG00000197933.12	ZNF823	ENST00000341191.10	ENST00000440527.1	1	1	1	1	TARGET-10-PANZPJ-04,TARGET-10-PAPNFY-04,TARGET-10-PAPRCS-04,TARGET-10-PARGVZ-04,TARGET-10-PARLAF-04	No	5	TRUE	TRUE	Yes	0.10398174620766079
ALL	ENSG00000095059.15	DHPS	ENST00000210060.11	ENST00000351660.9	1	1	1	1	TARGET-10-PARLAF-04,TARGET-10-PARNMF-04,TARGET-10-PATCTI-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000213988.9	ZNF90	ENST00000418063.2	ENST00000434475.4	1	1	1	1	TARGET-10-PANTSM-04,TARGET-10-PAPJHB-04,TARGET-10-PAPSPN-04,TARGET-10-PARBVI-04,TARGET-10-PARPRW-04	No	5	TRUE	TRUE	Yes	0.10398174620766079
ALL	ENSG00000268119.5	CTD-2561J22.5	ENST00000596705.5	ENST00000593653.1	0	0	0	1	TARGET-10-PANTSM-04,TARGET-10-PANXPE-04,TARGET-10-PARGVZ-04	No	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000196357.11	ZNF565	ENST00000304116.9	ENST00000392173.6	1	1	0	1	TARGET-10-PAPGFP-04,TARGET-10-PAPIJB-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZST-04,TARGET-10-PARNMF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000105429.12	MEGF8	ENST00000378073.5	ENST00000334370.8	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PANZPJ-04,TARGET-10-PAPNFY-04	No	3	TRUE	TRUE	Yes	0.45309753864995794
ALL	ENSG00000160014.16	CALM3	ENST00000291295.13	ENST00000599839.5	1	1	1	1	TARGET-10-PANSHK-04,TARGET-10-PAPDUV-04,TARGET-10-PARFLV-04	No	3	TRUE	TRUE	Yes	0.45309753864995794
ALL	ENSG00000160007.17	ARHGAP35	ENST00000404338.7	ENST00000614079.1	1	1	0	1	TARGET-10-PAPNNX-04,TARGET-10-PARBRK-04,TARGET-10-PARIAD-04,TARGET-10-PARLAF-04,TARGET-10-PARMXF-04	Driver	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000104974.10	LILRA1	ENST00000453777.1	ENST00000618665.4	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPVTA-04,TARGET-10-PARIAD-04,TARGET-10-PARNMF-04,TARGET-10-PATCTI-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000173418.11	NAA20	ENST00000310450.8	ENST00000334982.8	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPDJM-04,TARGET-10-PAPHJF-04,TARGET-10-PARFTR-04,TARGET-10-PASFXA-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000101109.11	STK4	ENST00000372806.7	ENST00000372801.5	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPEFH-04,TARGET-10-PAPLDM-04,TARGET-10-PAPVTA-04,TARGET-10-PARLAF-04	Driver interactor	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000160179.18	ABCG1	ENST00000361802.6	ENST00000398449.7	1	1	1	0	TARGET-10-PAPRCS-04,TARGET-10-PARFTR-04,TARGET-10-PARJSR-04,TARGET-10-PARMXF-04,TARGET-10-PATCTI-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000099999.14	RNF215	ENST00000382363.7	ENST00000619645.1	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPHJF-04,TARGET-10-PAPJIB-04,TARGET-10-PAPNFY-04,TARGET-10-PARLAF-04	No	5	TRUE	FALSE	Yes	0.10398174620766079
ALL	ENSG00000102172.15	SMS	ENST00000404933.6	ENST00000379404.5	1	1	1	1	TARGET-10-PAPACP-04,TARGET-10-PAPMFI-04,TARGET-10-PARGHW-04,TARGET-10-PARLAF-04,TARGET-10-PARNMF-04	No	5	FALSE	FALSE	No	0.10398174620766079
